Player,Span,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Education,City
AMN Munasinghe,19941996,5,13,8,4.33,0,4,Mar-30,36.5,0,0,0,32.16
ARM Opatha,19751979,5,29,18,9.66,0,5,Mar-31,36,0,3,0,26.33
N Thushara,20222023,5,8,6,8,0,6,Apr-17,17.66,0,0,0,9.66
G Wijekoon,20052007,5,39,14,9.75,0,4,Feb-49,41.75,0,0,0,31.99
FS Ahangama,19851985,4,11,11,5.5,0,18,May-52,20.61,1,1,0,15.11
GN de Silva,19831985,4,9,7,9,0,0,,,0,0,0,
IS Gallage,19992001,4,20,14,10,0,3,Feb-42,64,0,0,0,53.99
JC Gamage,19951995,4,8,7*,,0,3,Feb-17,34.66,0,2,0,
WCA Ganegama,20012006,4,7,7,3.5,0,2,Feb-27,44,0,1,0,40.49
MN Nawaz,19982002,4,130,78*,43.33,0,,,,,0,0,
M Pushpakumara,20092010,4,7,7*,,0,1,Jan-27,48,0,1,0,
SK Ranasinghe,19861986,4,55,41,18.33,0,3,Jan-28,32,0,1,0,13.66
APB Tennekoon,19751979,4,137,59,34.25,0,,,,,3,0,
SSD Arachchige,20232023,3,79,57,39.5,0,3,Feb-26,14.66,0,1,0,24.83
ST de Silva,20172017,3,3,3,1.5,0,0,,,0,0,0,
WRS de Silva,20022007,3,10,5*,10,0,11,Apr-35,19,0,1,0,8.99
ER Fernando,19751975,3,47,22,15.66,0,,,,,0,0,
KADM Fernando,20032003,3,56,51*,28,0,3,Feb-13,40,0,1,0,11.99
D Gamage,20032003,3,3,2*,3,0,2,Jan-26,41.5,0,2,0,38.49
RSA Jayasekera,19821982,3,19,17,6.33,0,,,,,0,0,
D Lakshan,20212022,3,4,2,2,0,1,Jan-43,76,0,1,0,73.99
J Liyanage,20222022,3,28,11,9.33,0,,,,,1,0,
DSK Madushanka,20182018,3,7,7,7,0,5,Mar-26,17.6,0,0,0,10.59
K Mishara,20222022,3,15,13,5,0,,,,,0,0,
HSM Pieris,19751975,3,19,16,9.5,0,2,Feb-68,67.5,0,0,0,57.99
MH Tissera,19751975,3,78,52,26,0,,,,,0,0,
DS Weerakkody,20172017,3,73,58,24.33,0,,,,,2,0,
MD Wettimuny,19831983,3,30,17,6,0,,,,,2,0,
SRD Wettimuny,19751979,3,136,67,68,0,,,,,0,0,
RPAH Wickramaratne,19931993,3,4,3,2,0,,,,,0,0,
AMJG Amerasinghe,19841984,2,54,34,18,0,3,Feb-73,50,0,3,0,31.99
KMC Bandara,20162016,2,3,2*,,0,1,Jan-83,94,0,0,0,
JWHD Boteju,19991999,2,3,2,3,0,0,,,0,1,0,
DLS de Silva,19791979,2,10,10,10,0,2,Feb-36,27,0,1,0,16.99
UNK Fernando,19941994,2,22,20*,,0,,,,,0,0,
PD Heyn,19751975,2,3,2,1.5,0,,,,,1,0,
SA Jayasinghe,19791979,2,1,1,1,0,,,,,1,0,
MDUS Jayasundera,20152015,2,30,26,7.5,0,0,,,0,2,0,
BR Jurangpathy,19851986,2,1,1,0.25,0,1,Jan-69,93,0,2,0,92.74
HGJM Kulatunga,20082008,2,19,11,9.5,0,,,,,2,0,
AK Kuruppuarachchi,19861987,2,0,0*,,0,8,May-44,18.62,1,0,0,
SP Pasqual,19791979,2,24,23*,24,0,0,,,0,0,0,
PARP Perera,20192019,2,33,33,16.5,0,,,,,1,0,
RLB Rambukwella,20132016,2,19,19,19,0,1,Jan-19,46,0,0,0,26.99
N Ranatunga,19931993,2,0,0,0,0,1,Jan-33,82,0,0,0,81.99
NLK Ratnayake,19891990,2,0,,,,2,Jan-39,49,0,0,0,
RJMGM Rupasinghe,20092009,2,33,18,16.5,0,,,,,1,0,
S Weerakoon,20122012,2,0,,,,1,Jan-49,49,0,0,0,
L Croospulle,20232023,1,16,16,16,0,,,,,0,0,
S Daniel,20232023,1,9,9,9,0,,,,,0,0,
RS Fernando,20232023,1,9,9,9,0,0,,,0,2,0,
TL Fernando,19891989,1,8,8,8,0,1,Jan-16,16,0,0,0,7.99
C Gunasekara,20222022,1,0,,,,0,,,0,0,0,
FRMD Gunatilleke,19791979,1,0,,,,0,,,0,0,0,
AAW Gunawardena,19941994,1,2,2,2,0,,,,,0,0,
RPW Guneratne,19831983,1,0,0*,,0,0,,,0,0,0,
D Hettiarachchi,20012001,1,0,0*,0,0,2,Feb-36,20.5,0,0,0,20.49
LU Igalagamage,20232023,1,0,0,0,0,,,,,0,0,
PS Jayaprakashdaran,20052005,1,0,,,,1,Jan-21,21,0,0,0,
S Kalavitigoda,20052005,1,8,7,4,0,,,,,2,0,
MC Mendis,19951995,1,3,3*,,0,,,,,2,0,
KG Perera,19861986,1,0,,,,0,,,0,0,0,
SMLD Samarakoon,20232023,1,1,1,1,0,1,01-Oct,10,0,0,0,8.99
N Vimukthi,20232023,1,6,6,6,0,0,,,0,0,0,
V Viyaskanth,20232023,1,13,13*,,0,1,Jan-28,28,0,0,0,
DM Vonhagt,19851985,1,8,8,8,0,,,,,0,0,
AP Weerakkody,19941994,1,2,2,2,0,0,,,0,0,0,
CDUS Weerasinghe,19851985,1,3,3,3,0,0,,,0,0,0,
PK Wijetunge,19931993,1,10,10,5,0,2,Jan-58,59,0,0,0,53.99
